"X","Y"
-69.883480245561,48.203445880309
-69.7495762555425,48.1337059993332
-69.7623143557506,48.1416787527017
-69.7231466068837,48.1336427496078
-69.8783336539597,48.1841231581221
-69.8376685355047,48.1474325505553
-69.8696607966567,48.1687982697496
-69.8229922738479,48.1439488493824
-69.8731994852981,48.2005738177562
-69.8700929687457,48.1980562407628
-69.8281223047885,48.1539541921765
-69.7604323393287,48.141022139443
-69.8836223141804,48.2053609185933
-69.7480335300972,48.1330929281442
-69.8681888383845,48.174331105518
-69.8768498912237,48.1929738116934
-69.8269232838012,48.1509883213463
-69.7867210198523,48.1472725877907
-69.8818215266641,48.1858534358012
-69.8492228889728,48.1576902741257
-69.8943276962958,48.2301950234768
-69.9025044114231,48.2225396501698
-69.8865860310398,48.212529110735
-69.9760188195108,48.236896573844
-69.8879956436891,48.2150527696116
-69.9653315950184,48.2376123166738
-69.9658514235029,48.2301429236036
-69.9757292052317,48.2370579647001
-69.8884704566772,48.2119201518561
-69.957800477908,48.2393519773142
-69.8874749839543,48.2083038460238
-69.8912548950932,48.2218239170111
-69.9836082487833,48.240319025205
-69.9874020348787,48.24503617305
-69.9124788629404,48.2381952209717
-70.2905345284487,48.3213665326301
-70.6686855427005,48.3572233215568
-70.421782649316,48.3596430180957
-70.072647465222,48.2572041787177
-70.648001620347,48.3839735174201
-70.3883183154747,48.3479200964209
-70.0703784832152,48.2526379250893
-70.0285020140609,48.2559375068765
-70.5863951625474,48.37012623514
-70.4871701631544,48.3627445166437
-70.0116082193217,48.2392056179048
-70.0041244198203,48.2552376690818
-70.0845414064116,48.2569977417703
-70.0951332058099,48.2515722464263
-70.0359811204871,48.2534642147229
-70.6591561574223,48.3775580326025
-70.5135219733584,48.3660258420645
-70.5129543169636,48.3713193510206
-70.1883129210518,48.2808770522664
-70.07026460402,48.2502811769112
-70.1864122280932,48.26129276773
-70.4549389366582,48.3610264957726
-70.2572175728271,48.2987917308352
-70.5562483511627,48.3715844275642
-70.6179619177173,48.3731418167053
-70.536964814291,48.3499617258742
-70.0497801994491,48.2564394018737
-70.1551143326277,48.2519512160979
-70.5596870139871,48.3682043103366
-70.1233695488736,48.2546278318031
-70.2273942698751,48.2847841793081
-70.2657128928615,48.314198354722
-70.3500221840815,48.3377886010801
-70.2951403042267,48.3144810350849
-70.6194545214316,48.3622628390008
-70.6238213854338,48.3560253329513
-70.3316076454907,48.328857159347
-70.6512113359626,48.3708696423714
-70.3941283878518,48.3509611004494
-70.0710591087533,48.2573310900537
-70.5737896466515,48.3659092680995
-70.2743713902683,48.2993516886269
-70.04056902461,48.2549550939063
-70.1686391040424,48.2521806775534
-70.3114361116055,48.3068925605022
-70.1319769120884,48.2605402248503
-70.4322302745519,48.3412988871372
-70.0914379664795,48.2533749236536
-70.0011803811918,48.2555348305554
-70.4201430557223,48.3608988260342
-70.8599550737816,48.4324579588771
-70.7386557647518,48.4212933082461
-70.8555312478705,48.4223262708154
-70.8390573570554,48.4123041344049
-70.8842417592043,48.4354225343181
-70.8018957979482,48.4034523012326
-70.7822213897045,48.4073905586527
-70.8853202978875,48.4372094637133
-70.8010958240565,48.4093116763391
-70.8217790074041,48.4059291606403
-70.8215279126482,48.4188758368053
-70.7858451060855,48.428358800286
-70.7773710951844,48.4155068450895
-70.7351753288286,48.3583922377925
-70.9094309152825,48.4453945262758
-70.807242846185,48.4079488244721
-70.7823979614549,48.4230686095952
-70.8996265073727,48.4318570619202
-70.835214181135,48.4116426996191
-70.9027965445835,48.427877711247
-70.8220609688518,48.3343004373476
-70.8527586707419,48.332577446328
-70.7933203680881,48.3562460401048
-70.775818526481,48.3475569776086
-70.7906439860511,48.3541769689216
-70.8719954675851,48.3368920931598
-70.7572571921041,48.3661612164105
-70.7993387957031,48.3422110350934
-70.8709352634474,48.3388523442291
-70.8757968908567,48.3410393294573
-70.7584893849314,48.3695424634806
-70.7619628094984,48.365155614686
-70.7834461350982,48.3456087810094
-70.7727990335555,48.3652548517545
-70.8060164574261,48.3487284727226
-70.7543365617886,48.3602176193094
-70.7707167599713,48.371154676129
-70.7823227990548,48.3673452615239
-70.8524604390697,48.3421632595528
-70.8588796876159,48.3406371670242
